Player_Name,matches,inns,balls,runs,wkts,BBI,bowling_ave,Econ,bowling_SR,5W,10W,balls_bowled,runs_against,odi_year
Damien Ravu,18,17,,,8,2/19,71.75,5.31,81.0,0,0,648,574,2021-2021
Nosaina Pokana,21,21,,,26,3/25,29.30,4.62,38.0,0,0,989,762,2021-2021
Steven Taylor,45,40,,,37,4/23,30.37,4.53,40.1,0,0,1487,1124,2021-2021
Sushant Modani,31,2,,,0,-,-,3.00,-,0,0,12,6,2021-2021
Monank Patel,47,-,,,-,-,-,-,-,-,-,-,-,2021-2021
Gajanand Singh,32,5,,,6,4/15,15.83,5.04,18.8,0,0,113,95,2021-2021
Jaskaran Malhotra,18,4,,,2,1/17,33.50,3.94,51.0,0,0,102,67,2021-2021
Saurabh Netravalkar,48,47,,,73,5/32,22.27,3.96,33.6,2,0,2458,1626,2021-2021
Jessy Singh,24,24,,,25,4/32,37.88,5.29,42.9,0,0,1074,947,2021-2021
Nosthush Kenjige,40,39,,,38,3/22,34.92,4.24,49.3,0,0,1876,1327,2021-2021
Elmore Hutchinson,11,10,,,4,1/12,56.50,4.34,78.0,0,0,312,226,2021-2021
Karima Gore,16,16,,,13,4/20,31.23,4.41,42.4,0,0,552,406,2021-2021
Nisarg Patel,41,39,,,42,4/30,30.50,4.75,38.4,0,0,1615,1281,2021-2021
Chad Soper,56,56,,,70,6/41,28.35,4.55,37.3,2,0,2612,1985,2021-2021
Kushal Bhurtel,44,9,,,4,2/32,41.50,5.35,46.5,0,0,186,166,2021-2021
Aasif Sheikh,41,-,,,-,-,-,-,-,-,-,-,-,2021-2021
Gyanendra Malla,37,2,,,1,1/6,18.00,6.00,18.0,0,0,18,18,2021-2021
Aarif Sheikh,47,26,,,6,1/16,88.16,4.74,111.5,0,0,669,529,2021-2021
Sharad Vesawkar,4,1,,,2,2/21,10.50,3.50,18.0,0,0,36,21,2021-2021
Rohit Paudel,52,4,,,0,-,-,3.85,-,0,0,109,70,2021-2021
Kushal Malla,27,22,,,18,2/6,32.94,4.63,42.6,0,0,768,593,2021-2021
Pawan Sarraf,8,6,,,4,2/45,32.25,4.66,41.5,0,0,166,129,2021-2021
Sompal Kami,47,47,,,63,5/33,28.07,4.99,33.7,1,0,2127,1769,2021-2021
Bikram Sob,5,5,,,5,2/20,23.00,5.43,25.4,0,0,127,115,2021-2021
Sandeep Lamichhane,49,48,,,111,6/11,17.25,4.27,24.2,3,0,2690,1915,2021-2021
Maheesh Theekshana,22,22,,,36,4/25,22.19,4.34,30.6,0,0,1104,799,2021-2021
Craig Ervine,116,-,,,-,-,-,-,-,-,-,-,-,2021-2021
Sean Williams,156,128,,,83,4/43,47.54,4.94,57.7,0,0,4792,3946,2021-2021
Wellington Masakadza,35,32,,,31,4/21,38.96,4.92,47.4,0,0,1472,1208,2021-2021
Aaron Jones,43,9,,,0,-,-,5.61,-,0,0,186,174,2021-2021
Abhishek Paradkar,4,4,,,8,4/26,19.87,6.62,18.0,0,0,144,159,2021-2021
Norman Vanua,57,55,,,61,4/24,34.18,5.20,39.3,0,0,2402,2085,2021-2021
Binod Bhandari,17,-,,,-,-,-,-,-,-,-,-,-,2021-2021
Karan KC,46,46,,,73,5/33,24.26,5.25,27.7,3,0,2024,1771,2021-2021
Sushan Bhari,11,11,,,15,4/5,18.20,3.88,28.1,0,0,422,273,2021-2021
Kabua Morea,17,17,,,22,5/28,26.13,4.71,33.2,1,0,732,575,2021-2021
Shane Getkate,4,4,,,7,2/30,20.71,4.53,27.4,0,0,192,145,2021-2021
Sanjay Krishnamurthi,3,3,,,0,-,-,3.85,-,0,0,42,27,2021-2021
Jatinder Singh,46,3,,,1,1/11,37.00,5.28,42.0,0,0,42,37,2021-2021
Shoaib Khan,24,3,,,0,-,-,5.12,-,0,0,48,41,2021-2021
Ayaan Khan,34,32,,,27,4/36,34.74,4.86,42.8,0,0,1156,938,2021-2021
Zeeshan Maqsood,42,42,,,55,4/15,26.47,4.28,37.0,0,0,2039,1456,2021-2021
Mohammad Nadeem,34,26,,,19,3/43,39.63,5.56,42.7,0,0,812,753,2021-2021
Suraj Kumar,24,-,,,-,-,-,-,-,-,-,-,-,2021-2021
Sandeep Goud,36,7,,,0,-,-,5.56,-,0,0,96,89,2021-2021
Bilal Khan,45,45,,,95,5/31,20.72,5.03,24.6,4,0,2346,1969,2021-2021
Kaleemullah,39,39,,,35,3/43,36.82,4.42,49.8,0,0,1746,1289,2021-2021
Nestor Dhamba,10,9,,,11,3/20,22.00,4.17,31.6,0,0,348,242,2021-2021
Dominique Rikhi,2,-,,,-,-,-,-,-,-,-,-,-,2021-2021
Naseem Khushi,32,-,,,-,-,-,-,-,-,-,-,-,2021-2021
Gulsan Jha,22,21,,,21,3/28,33.04,6.23,31.8,0,0,668,694,2021-2021
Kyle Phillip,5,5,,,6,3/43,40.83,6.04,40.5,0,0,243,245,2021-2021
Sufyan Mehmood,1,1,,,0,-,-,6.00,-,0,0,8,8,2021-2021
Pruthvikumar Macchi,1,-,,,-,-,-,-,-,-,-,-,-,2021-2021
Khawar Ali,34,34,,,42,5/15,30.11,4.77,37.8,1,0,1591,1265,2021-2021
Kashyap Prajapati,31,1,,,0,-,-,3.00,-,0,0,2,1,2021-2021
Aqib Ilyas,25,23,,,20,4/36,27.60,4.52,36.6,0,0,732,552,2021-2021
Chris Sole,30,30,,,53,4/27,23.67,5.05,28.1,0,0,1490,1255,2021-2021
Stephan Baard,19,-,,,-,-,-,-,-,-,-,-,-,2021-2021
Zane Green,33,-,,,-,-,-,-,-,-,-,-,-,2021-2021
Michael van Lingen,28,9,,,2,1/0,34.50,4.81,43.0,0,0,86,69,2021-2021
Craig Williams,18,10,,,3,1/37,74.66,4.66,96.0,0,0,288,224,2021-2021
Karl Birkenstock,20,11,,,5,2/24,52.80,6.43,49.2,0,0,246,264,2021-2021
Michau du Preez,3,-,,,-,-,-,-,-,-,-,-,-,2021-2021
JJ Smit,29,25,,,35,5/26,22.20,4.22,31.5,2,0,1104,777,2021-2021
Jan Frylinck,28,27,,,34,5/13,25.14,4.35,34.6,1,0,1179,855,2021-2021
Pikky Ya France,25,24,,,15,2/27,44.06,4.58,57.6,0,0,865,661,2021-2021
Ruben Trumpelmann,34,34,,,60,5/30,22.26,4.73,28.2,2,0,1693,1336,2021-2021
Bernard Scholtz,41,41,,,56,5/22,21.08,3.40,37.1,1,0,2081,1181,2021-2021
Zubayr Hamza,1,-,,,-,-,-,-,-,-,-,-,-,2021-2021
Khaya Zondo,6,-,,,-,-,-,-,-,-,-,-,-,2021-2021
Wayne Parnell,73,69,,,99,5/48,30.40,5.60,32.5,2,0,3224,3010,2021-2021
Roelof van der Merwe,16,16,,,19,3/27,36.05,4.98,43.4,0,0,825,685,2021-2021
Colin Ackermann,7,7,,,4,2/51,54.25,4.93,66.0,0,0,264,217,2021-2021
Jan Nicol Loftie-Eaton,32,16,,,10,3/54,28.50,5.05,33.8,0,0,338,285,2021-2021
Shai Hope,115,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Justin Greaves,3,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Nicholas Pooran,61,7,,,6,4/48,29.00,6.17,28.1,0,0,169,174,2022-2022
Shamarh Brooks,29,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Roston Chase,42,35,,,27,3/30,43.85,4.87,53.9,0,0,1457,1184,2022-2022
Kieron Pollard,123,82,,,55,3/27,39.29,5.69,41.3,0,0,2275,2161,2022-2022
Jason Holder,138,134,,,159,5/27,36.96,5.50,40.2,2,0,6402,5878,2022-2022
Romario Shepherd,22,21,,,15,3/44,50.20,5.37,56.0,0,0,840,753,2022-2022
Odean Smith,9,9,,,10,2/26,26.10,5.53,28.3,0,0,283,261,2022-2022
Alzarri Joseph,61,60,,,101,5/56,27.40,5.26,31.2,1,0,3152,2768,2022-2022
Akeal Hosein,38,38,,,57,4/39,29.59,4.84,36.6,0,0,2090,1687,2022-2022
William Porterfield,148,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Andy Balbirnie,101,3,,,2,1/26,34.00,6.80,30.0,0,0,60,68,2022-2022
Andy McBrine,82,77,,,84,5/29,34.70,4.52,45.9,1,0,3863,2915,2022-2022
Harry Tector,38,6,,,2,1/20,97.50,6.50,90.0,0,0,180,195,2022-2022
Curtis Campher,30,27,,,24,3/49,37.83,5.90,38.4,0,0,922,908,2022-2022
Lorcan Tucker,44,-,,,-,-,-,-,-,-,-,-,-,2022-2022
George Dockrell,117,102,,,103,4/24,36.79,4.83,45.6,0,0,4706,3790,2022-2022
Gareth Delany,21,13,,,7,2/52,58.57,6.30,55.7,0,0,390,410,2022-2022
Neil Rock,3,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Mark Adair,41,39,,,54,4/19,33.05,5.83,33.9,0,0,1834,1785,2022-2022
Craig Young,39,36,,,65,5/46,26.07,5.46,28.6,1,0,1862,1695,2022-2022
Josh Little,32,30,,,48,4/38,31.93,5.92,32.3,0,0,1553,1533,2022-2022
Paul Stirling,154,76,,,43,6/55,45.16,4.77,56.7,1,0,2441,1942,2022-2022
Takudzwanashe Kaitano,8,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Regis Chakabva,61,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Craig Ervine,116,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Sean Williams,156,128,,,83,4/43,47.54,4.94,57.7,0,0,4792,3946,2022-2022
Wessly Madhevere,36,28,,,13,3/36,52.53,5.08,62.0,0,0,806,683,2022-2022
Sikandar Raza,136,107,,,85,4/55,42.48,4.91,51.9,0,0,4412,3611,2022-2022
Ryan Burl,47,31,,,19,5/10,37.42,6.11,36.7,1,0,698,711,2022-2022
Wellington Masakadza,35,32,,,31,4/21,38.96,4.92,47.4,0,0,1472,1208,2022-2022
Blessing Muzarabani,42,42,,,54,5/49,32.64,5.14,38.0,1,0,2054,1763,2022-2022
Tendai Chatara,87,87,,,115,4/33,32.62,5.29,36.9,0,0,4254,3752,2022-2022
Richard Ngarava,39,38,,,47,4/43,34.14,5.37,38.0,0,0,1790,1605,2022-2022
Pathum Nissanka,34,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Kusal Mendis,106,2,,,0,-,-,8.40,-,0,0,20,28,2022-2022
Kamindu Mendis,7,5,,,2,1/32,75.50,6.04,75.0,0,0,150,151,2022-2022
Dinesh Chandimal,157,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Charith Asalanka,35,6,,,1,1/3,82.00,5.85,84.0,0,0,84,82,2022-2022
Dasun Shanaka,61,38,,,23,5/43,34.91,5.69,36.7,1,0,846,803,2022-2022
Chamika Karunaratne,23,21,,,24,4/43,28.83,5.72,30.2,0,0,725,692,2022-2022
Nuwan Pradeep,49,47,,,63,4/31,37.12,5.98,37.2,0,0,2345,2339,2022-2022
Chamika Gunasekara,1,1,,,0,-,-,8.00,-,0,0,6,8,2022-2022
Maheesh Theekshana,22,22,,,36,4/25,22.19,4.34,30.6,0,0,1104,799,2022-2022
Jeffrey Vandersay,20,19,,,25,4/10,32.08,5.60,34.3,0,0,858,802,2022-2022
Dushmantha Chameera,44,43,,,50,5/16,33.16,5.39,36.8,1,0,1843,1658,2022-2022
Quinton de Kock,140,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Janneman Malan,23,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Temba Bavuma,26,1,,,0,-,-,3.56,-,0,0,37,22,2022-2022
Aiden Markram,50,21,,,16,2/18,36.31,5.58,39.0,0,0,624,581,2022-2022
Rassie van der Dussen,45,1,,,1,1/3,3.00,3.00,6.0,0,0,6,3,2022-2022
David Miller,155,-,,,-,-,-,-,-,-,-,-,-,2022-2022
KL Rahul,54,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Shikhar Dhawan,167,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Virat Kohli,274,48,,,4,1/15,166.25,6.22,160.2,0,0,641,665,2022-2022
Rishabh Pant,30,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Shreyas Iyer,42,5,,,0,-,-,6.32,-,0,0,37,39,2022-2022
Venkatesh Iyer,2,1,,,0,-,-,5.60,-,0,0,30,28,2022-2022
Ravichandran Ashwin,113,111,,,151,4/25,33.49,4.94,40.6,0,0,6141,5058,2022-2022
Shardul Thakur,35,35,,,50,4/52,31.98,6.22,30.8,0,0,1541,1599,2022-2022
Bhuvneshwar Kumar,121,120,,,141,5/42,35.11,5.08,41.4,1,0,5847,4951,2022-2022
Jasprit Bumrah,72,72,,,121,6/19,24.30,4.63,31.4,2,0,3807,2941,2022-2022
Yuzvendra Chahal,72,69,,,121,6/42,27.13,5.26,30.9,2,0,3739,3283,2022-2022
Marco Jansen,9,9,,,10,2/46,45.70,5.83,47.0,0,0,470,457,2022-2022
Keshav Maharaj,27,26,,,29,3/25,37.03,4.79,46.3,0,0,1345,1074,2022-2022
Lungi Ngidi,45,44,,,73,6/58,27.90,5.73,29.1,1,0,2130,2037,2022-2022
Tabraiz Shamsi,44,41,,,57,5/49,34.38,5.51,37.4,1,0,2134,1960,2022-2022
Andile Phehlukwayo,74,69,,,87,4/22,31.54,5.73,32.9,0,0,2869,2744,2022-2022
Rahmanullah Gurbaz,21,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Usman Ghani,17,2,,,1,1/21,34.00,5.36,38.0,0,0,38,34,2022-2022
Rahmat Shah,94,27,,,14,5/32,36.71,5.81,37.8,1,0,530,514,2022-2022
Hashmatullah Shahidi,59,2,,,0,-,-,8.33,-,0,0,18,25,2022-2022
Najibullah Zadran,88,2,,,0,-,-,6.00,-,0,0,30,30,2022-2022
Shahidullah,1,1,,,0,-,-,5.33,-,0,0,18,16,2022-2022
Gulbadin Naib,76,70,,,65,6/43,35.35,5.43,39.0,1,0,2535,2298,2022-2022
Rashid Khan,89,84,,,167,7/18,18.52,4.14,26.8,4,0,4481,3094,2022-2022
Sharafuddin Ashraf,19,19,,,13,3/29,46.53,4.28,65.2,0,0,848,605,2022-2022
Scott Edwards,38,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Musa Ahmad,13,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Colin Ackermann,7,7,,,4,2/51,54.25,4.93,66.0,0,0,264,217,2022-2022
Bas de Leede,30,23,,,24,5/52,32.08,5.94,32.3,1,0,777,770,2022-2022
Pieter Seelaar,57,57,,,57,4/15,35.68,4.67,45.7,0,0,2609,2034,2022-2022
Boris Gorlee,3,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Saqib Zulfiqar,13,10,,,8,2/43,37.00,6.29,35.2,0,0,282,296,2022-2022
Philippe Boissevain,6,6,,,4,2/39,81.50,7.01,69.7,0,0,279,326,2022-2022
Fred Klaassen,19,19,,,32,3/23,23.53,4.31,32.7,0,0,1047,753,2022-2022
Vivian Kingma,18,18,,,21,3/21,35.28,5.39,39.2,0,0,824,741,2022-2022
Brandon Glover,9,9,,,9,3/43,49.33,6.08,48.6,0,0,438,444,2022-2022
Yamin Ahmadzai,9,8,,,7,2/34,43.42,5.36,48.5,0,0,340,304,2022-2022
Mujeeb Ur Rahman,61,60,,,86,5/50,25.05,4.06,36.9,1,0,3177,2155,2022-2022
Sisanda Magala,7,6,,,14,5/43,23.92,6.32,22.7,1,0,318,335,2022-2022
Ramesh Mendis,4,3,,,4,2/26,18.50,6.16,18.0,0,0,72,74,2022-2022
Milton Shumba,6,2,,,0,-,-,6.14,-,0,0,41,42,2022-2022
Ryan Klein,12,12,,,12,2/31,40.00,5.02,47.7,0,0,573,480,2022-2022
Fareed Ahmad,14,13,,,19,3/56,23.94,4.94,29.0,0,0,552,455,2022-2022
Dwaine Pretorius,27,26,,,35,4/36,27.05,4.96,32.6,0,0,1144,947,2022-2022
Suryakumar Yadav,23,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Deepak Chahar,13,12,,,16,3/27,30.56,5.75,31.8,0,0,510,489,2022-2022
Jayant Yadav,2,2,,,1,1/8,61.00,4.35,84.0,0,0,84,61,2022-2022
Prasidh Krishna,14,14,,,25,4/12,23.92,5.32,26.9,0,0,674,598,2022-2022
Riaz Hassan,3,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Azmatullah Omarzai,12,12,,,6,1/17,57.00,5.10,67.0,0,0,402,342,2022-2022
Aryan Dutt,25,25,,,20,3/31,48.25,5.17,55.9,0,0,1118,965,2022-2022
Clayton Floyd,9,9,,,5,2/41,61.00,4.84,75.6,0,0,378,305,2022-2022
Fazalhaq Farooqi,16,16,,,27,4/49,22.59,5.07,26.7,0,0,721,610,2022-2022
Qais Ahmad,1,1,,,3,3/32,10.66,4.17,15.3,0,0,46,32,2022-2022
Jatinder Singh,46,3,,,1,1/11,37.00,5.28,42.0,0,0,42,37,2022-2022
Khawar Ali,34,34,,,42,5/15,30.11,4.77,37.8,1,0,1591,1265,2022-2022
Kashyap Prajapati,31,1,,,0,-,-,3.00,-,0,0,2,1,2022-2022
Ayaan Khan,34,32,,,27,4/36,34.74,4.86,42.8,0,0,1156,938,2022-2022
Shoaib Khan,24,3,,,0,-,-,5.12,-,0,0,48,41,2022-2022
Zeeshan Maqsood,42,42,,,55,4/15,26.47,4.28,37.0,0,0,2039,1456,2022-2022
Sandeep Goud,36,7,,,0,-,-,5.56,-,0,0,96,89,2022-2022
Naseem Khushi,32,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Aamir Kaleem,3,3,,,2,2/30,41.50,4.93,50.5,0,0,101,83,2022-2022
Kaleemullah,39,39,,,35,3/43,36.82,4.42,49.8,0,0,1746,1289,2022-2022
Bilal Khan,45,45,,,95,5/31,20.72,5.03,24.6,4,0,2346,1969,2022-2022
Chirag Suri,37,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Muhammad Waseem,45,6,,,0,-,-,7.47,-,0,0,53,66,2022-2022
Vriitya Aravind,55,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Muhammad Usman,38,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Basil Hameed,37,30,,,36,5/17,18.77,4.00,28.1,1,0,1012,676,2022-2022
Rohan Mustafa,81,80,,,85,5/25,33.30,4.48,44.5,1,0,3787,2831,2022-2022
Chundangapoyil Rizwan,41,5,,,1,1/19,50.00,5.17,58.0,0,0,58,50,2022-2022
Kashif Daud,19,19,,,16,3/41,30.12,4.36,41.4,0,0,663,482,2022-2022
Junaid Siddique,43,42,,,60,4/23,27.61,5.01,33.0,0,0,1982,1657,2022-2022
Zahoor Khan,59,59,,,89,6/34,25.96,5.04,30.8,1,0,2750,2311,2022-2022
Ahmed Raza,53,53,,,64,5/26,30.06,4.12,43.7,1,0,2801,1924,2022-2022
Nestor Dhamba,10,9,,,11,3/20,22.00,4.17,31.6,0,0,348,242,2022-2022
Akif Raja,5,5,,,3,1/19,53.33,4.21,76.0,0,0,228,160,2022-2022
Brandon King,31,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Darren Bravo,122,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Fabian Allen,20,18,,,7,2/40,89.57,5.64,95.1,0,0,666,627,2022-2022
Kemar Roach,95,93,,,125,6/27,31.08,5.09,36.6,3,0,4579,3885,2022-2022
Rohit Sharma,243,38,,,8,2/27,64.37,5.21,74.1,0,0,593,515,2022-2022
Ishan Kishan,14,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Deepak Hooda,10,6,,,3,1/6,39.66,4.76,50.0,0,0,150,119,2022-2022
Mohammed Siraj,24,24,,,43,4/32,20.72,4.78,26.0,0,0,1118,891,2022-2022
Washington Sundar,16,14,,,16,3/30,27.18,5.05,32.2,0,0,516,435,2022-2022
Kuldeep Yadav,81,79,,,134,6/25,27.48,5.21,31.5,1,0,4234,3683,2022-2022
Hayden Walsh,22,22,,,28,5/39,31.82,5.41,35.2,1,0,988,891,2022-2022
Ibrahim Zadran,14,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Mohammad Nabi,142,137,,,150,4/30,31.94,4.30,44.5,0,0,6681,4792,2022-2022
Tamim Iqbal,241,2,,,0,-,-,13.00,-,0,0,6,13,2022-2022
Litton Das,72,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Shakib Al Hasan,235,229,,,305,5/29,28.98,4.44,39.1,4,0,11939,8840,2022-2022
Mushfiqur Rahim,251,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Yasir Ali,9,1,,,0,-,-,2.00,-,0,0,6,2,2022-2022
Mahmudullah,218,146,,,82,3/4,45.26,5.21,52.1,0,0,4273,3712,2022-2022
Afif Hossain,28,8,,,3,1/0,22.66,4.97,27.3,0,0,82,68,2022-2022
Mehidy Hasan Miraz,77,74,,,88,4/25,32.97,4.70,42.0,0,0,3699,2902,2022-2022
Mustafizur Rahman,89,88,,,148,6/43,24.62,5.08,29.0,5,0,4305,3645,2022-2022
Taskin Ahmed,59,57,,,81,5/28,30.37,5.43,33.5,2,0,2717,2460,2022-2022
Shoriful Islam,17,17,,,26,4/21,26.50,5.57,28.5,0,0,742,689,2022-2022
Suraj Kumar,24,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Mohammad Nadeem,34,26,,,19,3/43,39.63,5.56,42.7,0,0,812,753,2022-2022
Asif Khan,30,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Stephan Baard,19,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Craig Williams,18,10,,,3,1/37,74.66,4.66,96.0,0,0,288,224,2022-2022
Michael van Lingen,28,9,,,2,1/0,34.50,4.81,43.0,0,0,86,69,2022-2022
Gerhard Erasmus,40,26,,,20,3/31,29.85,4.36,41.0,0,0,821,597,2022-2022
JJ Smit,29,25,,,35,5/26,22.20,4.22,31.5,2,0,1104,777,2022-2022
David Wiese,15,15,,,15,3/50,45.73,5.58,49.1,0,0,737,686,2022-2022
Ruben Trumpelmann,34,34,,,60,5/30,22.26,4.73,28.2,2,0,1693,1336,2022-2022
Jan Frylinck,28,27,,,34,5/13,25.14,4.35,34.6,1,0,1179,855,2022-2022
Jan Nicol Loftie-Eaton,32,16,,,10,3/54,28.50,5.05,33.8,0,0,338,285,2022-2022
Bernard Scholtz,41,41,,,56,5/22,21.08,3.40,37.1,1,0,2081,1181,2022-2022
Tangeni Lungameni,22,22,,,37,6/42,19.97,4.32,27.7,1,0,1026,739,2022-2022
Karl Birkenstock,20,11,,,5,2/24,52.80,6.43,49.2,0,0,246,264,2022-2022
Fayyaz Butt,23,23,,,28,4/79,35.28,5.89,35.8,0,0,1005,988,2022-2022
Pikky Ya France,25,24,,,15,2/27,44.06,4.58,57.6,0,0,865,661,2022-2022
Wasim Ali,1,1,,,0,-,-,8.66,-,0,0,9,13,2022-2022
Lo-handre Louwrens,23,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Tony Ura,61,1,,,0,-,-,12.00,-,0,0,6,12,2022-2022
Lega Siaka,47,14,,,3,2/33,60.33,4.52,80.0,0,0,240,181,2022-2022
Assad Vala,66,61,,,55,3/17,28.70,3.96,43.4,0,0,2388,1579,2022-2022
Charles Amini,49,43,,,32,4/27,43.06,4.84,53.3,0,0,1706,1378,2022-2022
Hiri Hiri,34,7,,,3,1/6,37.66,6.64,34.0,0,0,102,113,2022-2022
Chad Soper,56,56,,,70,6/41,28.35,4.55,37.3,2,0,2612,1985,2022-2022
Norman Vanua,57,55,,,61,4/24,34.18,5.20,39.3,0,0,2402,2085,2022-2022
Riley Hekure,25,24,,,26,5/13,28.19,4.61,36.6,1,0,953,733,2022-2022
Simon Atai,15,2,,,0,-,-,4.37,-,0,0,48,35,2022-2022
Dogodo Bau,14,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Kabua Morea,17,17,,,22,5/28,26.13,4.71,33.2,1,0,732,575,2022-2022
Alei Nao,26,26,,,25,4/27,38.88,5.08,45.9,0,0,1148,972,2022-2022
Kushal Bhurtel,44,9,,,4,2/32,41.50,5.35,46.5,0,0,186,166,2022-2022
Aasif Sheikh,41,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Gyanendra Malla,37,2,,,1,1/6,18.00,6.00,18.0,0,0,18,18,2022-2022
Dipendra Singh Airee,50,44,,,36,3/18,31.75,3.88,49.0,0,0,1766,1143,2022-2022
Rohit Paudel,52,4,,,0,-,-,3.85,-,0,0,109,70,2022-2022
Aarif Sheikh,47,26,,,6,1/16,88.16,4.74,111.5,0,0,669,529,2022-2022
Binod Bhandari,17,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Karan KC,46,46,,,73,5/33,24.26,5.25,27.7,3,0,2024,1771,2022-2022
Sompal Kami,47,47,,,63,5/33,28.07,4.99,33.7,1,0,2127,1769,2022-2022
Sandeep Lamichhane,49,48,,,111,6/11,17.25,4.27,24.2,3,0,2690,1915,2022-2022
Sagar Dhakal,8,7,,,4,2/31,37.00,3.87,57.2,0,0,229,148,2022-2022
Kamal Airee,3,3,,,2,2/56,54.50,5.73,57.0,0,0,114,109,2022-2022
Kyle Verreynne,12,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Kagiso Rabada,89,87,,,137,6/16,27.94,5.01,33.4,2,0,4579,3829,2022-2022
Alishan Sharafu,14,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Sese Bau,57,23,,,10,2/35,57.60,4.86,71.0,0,0,710,576,2022-2022
Wayne Parnell,73,69,,,99,5/48,30.40,5.60,32.5,2,0,3224,3010,2022-2022
Pawan Sarraf,8,6,,,4,2/45,32.25,4.66,41.5,0,0,166,129,2022-2022
Bikram Sob,5,5,,,5,2/20,23.00,5.43,25.4,0,0,127,115,2022-2022
Jason Kila,13,8,,,6,3/27,33.33,5.24,38.1,0,0,229,200,2022-2022
Anil Sah,4,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Dev Khanal,10,2,,,0,-,-,6.66,-,0,0,18,20,2022-2022
Bhim Sharki,17,1,,,0,-,-,8.00,-,0,0,6,8,2022-2022
Semo Kamea,22,21,,,33,5/38,26.30,5.20,30.3,2,0,1000,868,2022-2022
Nosaina Pokana,21,21,,,26,3/25,29.30,4.62,38.0,0,0,989,762,2022-2022
Gulsan Jha,22,21,,,21,3/28,33.04,6.23,31.8,0,0,668,694,2022-2022
Stephan Myburgh,22,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Max O'Dowd,33,3,,,0,-,-,5.44,-,0,0,43,39,2022-2022
Vikramjit Singh,25,9,,,7,2/12,24.14,5.82,24.8,0,0,174,169,2022-2022
Michael Rippon,9,9,,,13,4/37,23.00,4.46,30.9,0,0,402,299,2022-2022
Logan van Beek,25,25,,,34,4/24,33.41,5.29,37.8,0,0,1288,1136,2022-2022
Martin Guptill,198,11,,,4,2/6,24.50,5.39,27.2,0,0,109,98,2022-2022
Henry Nicholls,66,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Will Young,15,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Ross Taylor,236,4,,,0,-,-,5.00,-,0,0,42,35,2022-2022
Tom Latham,130,-,,,-,-,-,-,-,-,-,-,-,2022-2022
Kyle Jamieson,8,8,,,11,3/45,26.90,4.31,37.4,0,0,412,296,2022-2022
Matt Henry,72,70,,,127,5/30,25.59,5.14,29.8,2,0,3789,3251,2022-2022
Blair Tickner,13,13,,,16,4/50,42.43,6.53,38.9,0,0,623,679,2022-2022
Colin de Grandhomme,45,45,,,30,3/26,41.00,4.76,51.6,0,0,1548,1230,2022-2022
Michael Bracewell,19,19,,,15,3/21,42.26,5.15,49.2,0,0,738,634,2022-2022
Ish Sodhi,46,44,,,55,4/58,38.05,5.49,41.5,0,0,2287,2093,2022-2022
Travis Head,54,30,,,14,2/22,58.42,5.82,60.2,0,0,843,818,2022-2022
Aaron Finch,146,21,,,4,1/2,64.75,5.47,71.0,0,0,284,259,2022-2022
