,Runs_scored_batting,balls faced,4s_batting,6s_batting,strikerate,Num_matches_batted,Name,Born,Age,Batting_Style,Bowling_Style,Playing_Role,National_Team,player_img,career_start,career_latest,Overs,Maindens,runs_given_baller,wickets_baller,economy_baller,dot_balls_baller,4s_baller,6s_baller,wides_baller,NB_baller,Num_matches_bowled,catches,stumps,batting_average,Playing_Role_New,Rank,Combined_Rank,Is_Captain
10,30.0,64.0,2.0,0.0,48.582,10.0,Mohammed Siraj,"March 13, 1994, Hyderabad",29y 144d,Right hand Bat,Right arm Fast,Bowler,India,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Mohammed_Siraj.jpg/220px-Mohammed_Siraj.jpg,2017,2023,185.8,19.0,891.0,43.0,4.91875,738.0,114.0,10.0,44.0,1.0,24.0,5.0,0.0,3.0,Bowler,7.0,25.881321473951715,
11,2.0,12.0,0.0,0.0,13.331999999999999,5.0,Prasidh Krishna,"February 19, 1996, Bangalore, Karnataka",27y 166d,Right hand Bat,Right arm Fast medium,Bowler,India,,2021,2022,111.8,7.0,598.0,25.0,5.4592857142857145,420.0,73.0,13.0,16.0,3.0,14.0,2.0,0.0,0.4,Bowler,8.0,15.073269658511055,
12,203.0,207.0,17.0,8.0,88.67888888888889,9.0,Deepak Chahar,"August 07, 1992, Agra, Uttar Pradesh",30y 362d,Right hand Bat,Right arm Medium,Bowler,India,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Deepak_Chahar.jpg/220px-Deepak_Chahar.jpg,2018,2022,85.0,5.0,489.0,16.0,5.776666666666666,291.0,55.0,9.0,19.0,4.0,12.0,1.0,0.0,22.555555555555557,Bowler,9.0,9.669244085401038,
13,9.0,17.0,1.0,0.0,75.75666666666666,3.0,Khaleel Ahmed,"December 05, 1997, Tonk, Rajasthan",25y 242d,Right hand Bat,Left arm Medium,Bowler,India,,2018,2019,77.0,2.0,438.0,15.0,5.642,254.0,40.0,14.0,13.0,3.0,10.0,1.0,0.0,3.0,Bowler,10.0,9.070896845090394,
14,2.0,9.0,0.0,0.0,13.333333333333334,3.0,Umran Malik,"November 22, 1999, Gujjar Nagar, Jammu & Kashmir",23y 255d,Right hand Bat,Right arm Fast,Bowler,India,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Umran_Malik_in_GGM.jpg/220px-Umran_Malik_in_GGM.jpg,2022,2023,55.0,2.0,355.0,13.0,6.4799999999999995,173.0,45.0,5.0,10.0,4.0,7.0,1.0,0.0,0.6666666666666666,Bowler,11.0,7.8617283950617285,
15,107.0,137.0,9.0,3.0,89.71000000000001,5.0,Navdeep Saini,"November 23, 1992, Karnal, Haryana",30y 254d,Right hand Bat,Right arm Fast,Bowler,India,,2019,2021,70.0,0.0,481.0,6.0,6.9375,203.0,54.0,11.0,11.0,4.0,8.0,3.0,0.0,21.4,Bowler,12.0,3.657657657657657,
16,0.0,2.0,0.0,0.0,0.0,1.0,Umesh Yadav,"October 25, 1987, Nagpur, Maharashtra",35y 283d,Right hand Bat,Right arm Fast,Bowler,India,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Umesh_Yadav.jpg/220px-Umesh_Yadav.jpg,2010,2023,39.5,0.0,275.0,4.0,6.9025,112.0,35.0,3.0,5.0,1.0,4.0,22.0,0.0,0.0,Bowler,13.0,2.4579500181093805,
17,13.0,25.0,0.0,0.0,52.0,1.0,Rahul Chahar,"August 04, 1999, Bharaatpur, Rajasthan",24y ,Right hand Bat,Legbreak Googly,Bowler,India,,2019,2021,10.0,0.0,54.0,3.0,5.4,31.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,13.0,Bowler,14.0,1.8740740740740738,
18,13.0,18.0,2.0,0.0,66.66499999999999,2.0,Avesh Khan,"December 13, 1996, Indore, Madhya Pradesh",26y 234d,Right hand Bat,Right arm Fast medium,Bowler,India,,2022,2022,35.3,2.0,214.0,3.0,5.782,118.0,24.0,5.0,6.0,2.0,5.0,3.0,0.0,6.5,Bowler,15.0,1.8691802144586647,
19,0.0,0.0,0.0,0.0,0.0,1.0,T Natarajan,"April 04, 1991, Salem",32y 122d,Left hand Bat,Left arm Medium,Bowler,India,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/T_Natarajan.jpg/220px-T_Natarajan.jpg,2020,2021,20.0,1.0,143.0,3.0,7.15,59.0,14.0,4.0,11.0,1.0,2.0,0.0,0.0,0.0,Bowler,16.0,1.8559440559440556,
20,0.0,1.0,0.0,0.0,0.0,1.0,Chetan Sakariya,"February 28, 1998, Bhavnagar",25y 157d,Left hand Bat,Left arm Medium fast,Bowler,India,,2021,2021,8.0,0.0,34.0,2.0,4.25,32.0,4.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,Bowler,17.0,1.2941176470588234,
21,2.0,4.0,0.0,0.0,50.0,1.0,Kuldeep Sen,"October 22, 1996, Rewa, Madhya Pradesh",26y 286d,Right hand Bat,Right arm Fast,Bowler,India,,2022,2022,5.0,0.0,37.0,2.0,7.4,16.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,Bowler,18.0,1.254054054054054,
22,4.0,2.0,1.0,0.0,200.0,1.0,Ravi Bishnoi,"September 05, 2000, Jodhpur, Rajasthan",22y 333d,Right hand Bat,Legbreak Googly,Bowler,India,,2022,2022,8.0,0.0,69.0,1.0,8.62,21.0,7.0,1.0,4.0,1.0,1.0,0.0,0.0,4.0,Bowler,19.0,0.6464037122969838,
23,2.0,6.0,0.0,0.0,33.33,1.0,Jayant Yadav,"January 22, 1990, Delhi",33y 194d,Right hand Bat,Right arm Offbreak,Bowler,India,,2016,2022,10.0,0.0,53.0,0.0,5.3,30.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,Bowler,20.0,0.07547169811320756,
24,9.0,9.0,0.0,1.0,100.0,1.0,Arshdeep Singh,"February 05, 1999, Guna, Madhya Pradesh",24y 180d,Left hand Bat,Left arm Medium fast,Bowler,India,,2022,2023,13.1,1.0,89.0,0.0,6.26,45.0,10.0,3.0,2.0,1.0,2.0,0.0,0.0,9.0,Bowler,21.0,0.06389776357827476,
25,1.0,3.0,0.0,0.0,25.0,2.0,Siddarth Kaul,"May 19, 1990, Pathankot, Punjab",33y 77d,Right hand Bat,Right arm Medium,Bowler,India,,2018,2019,27.0,0.0,179.0,0.0,6.670000000000001,72.0,16.0,6.0,1.0,0.0,3.0,1.0,0.0,0.5,Bowler,22.0,0.05997001499250374,
26,9.0,6.0,1.0,0.0,150.0,1.0,Shivam Dube,"June 26, 1993, Mumbai",30y 39d,Left hand Bat,Right arm Medium,Bowling Allrounder,India,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Shivam_Dube.jpg/220px-Shivam_Dube.jpg,2019,2020,7.5,0.0,68.0,0.0,8.68,13.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,Bowling Allrounder,1.0,46.823041474654374,
27,612.0,725.0,34.0,14.0,85.7044,25.0,Ravindra Jadeja,"December 06, 1988, Navagam-Khed, Saurashtra",34y 241d,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,India,,2009,2023,318.5,5.0,1575.0,36.0,4.913428571428572,948.0,105.0,36.0,15.0,5.0,35.0,65.0,0.0,24.48,Bowling Allrounder,2.0,41.4480247740885,
28,233.0,272.0,17.0,6.0,95.06666666666666,9.0,Washington Sundar,"October 05, 1999, Chennai, Tamil Nadu",23y 303d,Left hand Bat,Right arm Offbreak,Bowling Allrounder,India,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Washington_Sundar.jpg/220px-Washington_Sundar.jpg,2017,2023,76.0,2.0,370.0,15.0,4.603846153846154,246.0,24.0,12.0,7.0,1.0,13.0,4.0,0.0,25.88888888888889,Bowling Allrounder,3.0,38.24121971595656,
29,231.0,205.0,10.0,13.0,96.47272727272728,11.0,Axar Patel,"January 20, 1994, Anand, Gujarat",29y 196d,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,India,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Axar_Patel_2.jpg/220px-Axar_Patel_2.jpg,2014,2023,84.3,5.0,413.0,13.0,5.043333333333334,271.0,33.0,10.0,1.0,1.0,12.0,23.0,0.0,21.0,Bowling Allrounder,4.0,37.08147449378117,
30,153.0,189.0,10.0,1.0,74.86428571428571,7.0,Deepak Hooda,"April 19, 1995, Rohtak",28y 107d,Right hand Bat,Right arm Offbreak,Bowling Allrounder,India,,2022,2023,25.0,1.0,119.0,3.0,5.176666666666667,79.0,8.0,3.0,4.0,0.0,6.0,3.0,0.0,21.857142857142858,Bowling Allrounder,5.0,27.76934918590746,
31,32.0,37.0,1.0,1.0,79.0,2.0,Ravichandran Ashwin,"September 17, 1986, Madras (now Chennai), Tamil Nadu",36y 321d,Right hand Bat,Right arm Offbreak,Bowling Allrounder,India,https://upload.wikimedia.org/wikipedia/commons/3/3c/Ravichandran_Ashwin_%28cropped%29.jpg,2010,2023,20.0,1.0,121.0,1.0,6.05,44.0,8.0,2.0,2.0,0.0,2.0,30.0,0.0,16.0,Bowling Allrounder,6.0,27.233057851239668,
32,2.0,3.0,0.0,0.0,66.66,1.0,Krishnappa Gowtham,"October 20, 1988, Bangalore, Karnataka",34y 288d,Right hand Bat,Right arm Offbreak,Bowling Allrounder,India,,2021,2021,8.0,0.0,49.0,1.0,6.12,25.0,6.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,Bowling Allrounder,7.0,20.73067973856209,
33,24.0,40.0,0.0,1.0,47.614999999999995,2.0,Venkatesh Iyer,"December 25, 1994, Indore, Madhya Pradesh",28y 222d,Left hand Bat,Right arm Medium,Bowling Allrounder,India,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Venkatesh_Iyer.png/220px-Venkatesh_Iyer.png,2021,2022,5.0,0.0,28.0,0.0,5.6,10.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,Bowling Allrounder,8.0,16.720214285714285,
34,0.0,4.0,0.0,0.0,0.0,1.0,Shahbaz Ahmed,"December 11, 1994, Mewat, Haryana",28y 236d,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,India,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Shabaz_Ahmed_Senior.jpg/220px-Shabaz_Ahmed_Senior.jpg,2022,2022,26.0,0.0,125.0,3.0,4.766666666666667,75.0,11.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,Bowling Allrounder,9.0,0.9419580419580419,
35,639.0,760.0,55.0,17.0,66.7745,20.0,Ambati Rayudu,"September 23, 1985, Guntur, Andhra Pradesh",37y 315d,Right hand Bat,Right arm Offbreak,Middle order Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Ambati_Rayudu.jpg/220px-Ambati_Rayudu.jpg,2013,2019,2.1,0.0,13.0,0.0,3.25,7.0,2.0,0.0,0.0,0.0,2.0,17.0,0.0,31.95,Middle order Batter,1.0,254.86485,
36,86.0,83.0,12.0,1.0,85.292,5.0,Mayank Agarwal,"February 16, 1991, Bangalore, Karnataka",32y 169d,Right hand Bat,Right arm Offbreak,Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Mayank_agarwal_%28cropped%29.jpg/220px-Mayank_agarwal_%28cropped%29.jpg,2018,2022,1.0,0.0,10.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,17.2,Middle order Batter,2.0,61.7076,
37,47.0,67.0,1.0,0.0,49.005,2.0,Suresh Raina,"November 27, 1986, Muradnagar, Ghaziabad, Uttar Pradesh",36y 250d,Left hand Bat,Right arm Offbreak,Middle order Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Suresh_Raina_grace_the_%27Salaam_Sachin%27_conclave.jpg/220px-Suresh_Raina_grace_the_%27Salaam_Sachin%27_conclave.jpg,2005,2018,7.0,1.0,42.0,0.0,6.553333333333334,19.0,6.0,0.0,1.0,0.0,3.0,102.0,0.0,23.5,Middle order Batter,3.0,39.37649999999999,
38,19.0,42.0,1.0,0.0,45.23,1.0,Ruturaj Gaikwad,"January 31, 1997, Pune, Maharashtra",26y 185d,Right hand Bat,Right arm Offbreak,Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Ruturaj_Gaikwad.jpg/220px-Ruturaj_Gaikwad.jpg,2021,2023,,,,,,,,,,,,0.0,0.0,19.0,Middle order Batter,4.0,26.869,
39,7.0,14.0,0.0,0.0,50.0,1.0,Nitish Rana,"December 27, 1993, Delhi",29y 220d,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter,India,,2021,2021,3.0,0.0,10.0,0.0,3.33,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,Middle order Batter,5.0,19.9,
40,3868.0,3932.0,372.0,40.0,88.94464788732394,71.0,Virat Kohli,"November 05, 1988, Delhi",34y 272d,Right hand Bat,Right arm Medium,Top order Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Virat_Kohli_during_the_India_vs_Aus_4th_Test_match_at_Narendra_Modi_Stadium_on_09_March_2023.jpg/220px-Virat_Kohli_during_the_India_vs_Aus_4th_Test_match_at_Narendra_Modi_Stadium_on_09_March_2023.jpg,2008,2023,,,,,,,,,,,,141.0,0.0,54.478873239436616,Top order Batter,1.0,1210.598232394366,
41,3401.0,3537.0,349.0,112.0,84.98338235294118,68.0,Rohit Sharma,"April 30, 1987, Bansod, Nagpur, Maharashtra",36y 96d,Right hand Bat,Right arm Offbreak,Top order Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Rohit_Sharma_during_the_India_vs_Australia_4th_Test_match_at_Narendra_Modi_Stadium.jpg/220px-Rohit_Sharma_during_the_India_vs_Australia_4th_Test_match_at_Narendra_Modi_Stadium.jpg,2007,2023,,,,,,,,,,,,87.0,0.0,50.01470588235294,Top order Batter,2.0,1067.549330882353,Yes
42,2752.0,3069.0,355.0,27.0,80.81632352941176,68.0,Shikhar Dhawan,"December 05, 1985, Delhi",37y 242d,Left hand Bat,Right arm Offbreak,Opening Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/SHIKHAR_DHAWAN_%2816005494418%29.jpg/220px-SHIKHAR_DHAWAN_%2816005494418%29.jpg,2010,2022,,,,,,,,,,,,83.0,0.0,40.470588235294116,Top order Batter,3.0,868.050419117647,
43,1469.0,1530.0,144.0,29.0,95.25428571428571,35.0,Shreyas Iyer,"December 06, 1994, Mumbai",28y 241d,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Shreyas_Iyer_2021.jpg/220px-Shreyas_Iyer_2021.jpg,2017,2023,5.1,0.0,37.0,0.0,7.0,14.0,2.0,2.0,2.0,0.0,4.0,16.0,0.0,41.97142857142857,Top order Batter,4.0,488.729,
44,1266.0,1182.0,145.0,27.0,92.47608695652173,23.0,Shubman Gill,"September 08, 1999, Fazilka, Punjab",23y 330d,Right hand Bat,Right arm Offbreak,Opening Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Shubman_Gill.jpg/220px-Shubman_Gill.jpg,2019,2023,,,,,,,,,,,,15.0,0.0,55.04347826086956,Top order Batter,5.0,431.43184782608694,
45,399.0,399.0,43.0,5.0,90.985,20.0,Suryakumar Yadav,"September 14, 1990, Mumbai, Maharashtra",32y 324d,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Suryakumar.jpg/220px-Suryakumar.jpg,2021,2023,,,,,,,,,,,,14.0,0.0,19.95,Top order Batter,6.0,158.52724999999998,
46,189.0,166.0,32.0,2.0,119.01833333333333,6.0,Prithvi Shaw,"November 09, 1999, Thane, Maharashtra",23y 268d,Right hand Bat,Right arm Offbreak,Opening Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Prithvi_shaw.png/220px-Prithvi_shaw.png,2018,2021,,,,,,,,,,,,2.0,0.0,31.5,Top order Batter,7.0,109.38141666666667,
47,134.0,161.0,8.0,1.0,90.43857142857142,7.0,Manish Pandey,"September 10, 1989, Nainital, Uttaranchal",33y 328d,Right hand Bat,Right arm Medium,Top order Batter,India,,2015,2021,,,,,,,,,,,,10.0,0.0,19.142857142857142,Top order Batter,8.0,78.55349999999999,
48,140.0,182.0,9.0,2.0,68.44800000000001,5.0,Ajinkya Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",35y 59d,Right hand Bat,Right arm Medium,Top order Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Ajinkya_Rahane_2016_%28cropped%29.jpg/220px-Ajinkya_Rahane_2016_%28cropped%29.jpg,2011,2023,,,,,,,,,,,,48.0,0.0,28.0,Top order Batter,9.0,75.7568,
49,875.0,1114.0,61.0,13.0,78.51,29.0,MS Dhoni,"July 07, 1981, Ranchi, Bihar (now Jharkhand)",42y 28d,Right hand Bat,Right arm Medium,Wicketkeeper Batter,India,,2004,2019,,,,,,,,,,,,321.0,123.0,30.17241379310345,Wicketkeeper Batter,1.0,135.75372413793104,
50,256.0,337.0,22.0,3.0,72.94166666666666,12.0,Dinesh Karthik,"June 01, 1985, Madras (now Chennai), Tamil Nadu",38y 64d,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,India,,2004,2022,,,,,,,,,,,,64.0,7.0,21.333333333333332,Wicketkeeper Batter,2.0,38.73833333333333,
51,1738.0,1987.0,132.0,42.0,82.9606976744186,43.0,KL Rahul,"April 18, 1992, Bangalore, Karnataka",31y 108d,Right hand Bat,,Wicketkeeper Batter,India,,2014,2023,,,,,,,,,,,,32.0,2.0,40.41860465116279,Wicketkeeper Batter,3.0,37.21772093023256,
52,865.0,811.0,90.0,26.0,97.37807692307692,26.0,Rishabh Pant,"October 04, 1997, Haridwar, Uttarakhand",25y 304d,Left hand Bat,,Wicketkeeper Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Rishabh_Pant_%2829693622367%29_%28cropped%29.jpg/220px-Rishabh_Pant_%2829693622367%29_%28cropped%29.jpg,2017,2022,,,,,,,,,,,,26.0,1.0,33.26923076923077,Wicketkeeper Batter,4.0,36.206384615384614,
53,330.0,315.0,25.0,15.0,94.84400000000001,10.0,Sanju Samson,"November 11, 1994, Pulluvila, Vizhinjam, Trivandrum",28y 266d,Right hand Bat,,Wicketkeeper Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Sanju.Samson.RR.jpg/220px-Sanju.Samson.RR.jpg,2014,2023,,,,,,,,,,,,7.0,2.0,33.0,Wicketkeeper Batter,5.0,31.1188,
54,510.0,481.0,52.0,21.0,75.76,13.0,Ishan Kishan,"July 18, 1998, Patna, Bihar",25y 17d,Left hand Bat,,Wicketkeeper Batter,India,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Ishan_Kishan.jpg/220px-Ishan_Kishan.jpg,2021,2023,,,,,,,,,,,,5.0,2.0,39.23076923076923,Wicketkeeper Batter,6.0,28.67123076923077,
55,1455.0,1154.0,129.0,59.0,133.02717391304347,46.0,Glenn Maxwell,"October 14, 1988, Kew, Melbourne, Victoria",34y 294d,Right hand Bat,Right arm Offbreak,Batting Allrounder,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/3-_Protest_Glenn_Maxwell_%28cropped%29.jpg/220px-3-_Protest_Glenn_Maxwell_%28cropped%29.jpg,2012,2023,226.4,4.0,1272.0,15.0,5.938750000000001,579.0,81.0,27.0,21.0,0.0,40.0,79.0,0.0,31.630434782608695,Batting Allrounder,1.0,353.5369565217391,
56,981.0,1088.0,88.0,26.0,75.93152173913043,46.0,Marcus Stoinis,"August 16, 1989, Perth",33y 353d,Right hand Bat,Right arm Medium,Batting Allrounder,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/2018.01.21.15.22.25-Stoinis_%2839081521620%29.jpg/220px-2018.01.21.15.22.25-Stoinis_%2839081521620%29.jpg,2015,2023,237.4,3.0,1414.0,35.0,6.075555555555555,663.0,115.0,27.0,30.0,5.0,45.0,15.0,0.0,21.32608695652174,Batting Allrounder,2.0,237.83782608695654,
57,847.0,1018.0,52.0,2.0,76.26714285714286,28.0,Marnus Labuschagne,"June 22, 1994, Klerksdorp, North West Province, South Africa",29y 43d,Right hand Bat,Legbreak,Batting Allrounder,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Day_4_of_the_3rd_Test_of_the_2019_Ashes_at_Headingley_%2848631113862%29_%28Marnus_Labuschagne_cropped%29.jpg/220px-Day_4_of_the_3rd_Test_of_the_2019_Ashes_at_Headingley_%2848631113862%29_%28Marnus_Labuschagne_cropped%29.jpg,2018,2023,30.5,1.0,197.0,2.0,7.308888888888889,77.0,15.0,5.0,1.0,0.0,9.0,12.0,0.0,30.25,Batting Allrounder,3.0,206.35685714285714,
58,766.0,857.0,67.0,24.0,88.01541666666667,24.0,Mitchell Marsh,"October 20, 1991, Attadale, Perth",31y 288d,Right hand Bat,Right arm Medium,Batting Allrounder,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Mitchell_Marsh.jpg/220px-Mitchell_Marsh.jpg,2011,2023,86.3,4.0,430.0,13.0,5.279999999999999,273.0,33.0,5.0,13.0,2.0,19.0,31.0,0.0,31.916666666666668,Batting Allrounder,4.0,197.38950000000003,
59,302.0,340.0,22.0,8.0,89.07833333333333,12.0,Cameron Green,"June 03, 1999",24y 62d,Right hand Bat,Right arm Fast medium,Batting Allrounder,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Cameron_Green_fielding_Boxing_Day_2022_%28cropped%29.jpg/220px-Cameron_Green_fielding_Boxing_Day_2022_%28cropped%29.jpg,2020,2023,75.0,0.0,377.0,11.0,5.176,245.0,40.0,3.0,7.0,3.0,15.0,6.0,0.0,25.166666666666668,Batting Allrounder,5.0,103.26466666666668,
60,160.0,253.0,15.0,0.0,55.83041666666667,24.0,Adam Zampa,"March 31, 1992, Shellharbour, New South Wales",31y 126d,Right hand Bat,Legbreak Googly,Bowler,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Adam_Zampa_2023.jpg/220px-Adam_Zampa_2023.jpg,2016,2023,465.0,7.0,2485.0,91.0,5.424230769230769,1255.0,165.0,51.0,28.0,2.0,52.0,16.0,0.0,6.666666666666667,Bowler,1.0,54.67374317521095,
