Player_Name,matches,inns,not_out,runs_scored,HS,batting_ave,ball_faced,batting_SR,100s,50s,fours,six,odi_year
Bjorn Fortuin,5,3,1,2,1,1.00,8,25.00,0,0,0,0,2023-2023
Gerald Coetzee,2,1,0,1,1,1.00,3,33.33,0,0,0,0,2023-2023
Yannic Cariah,8,4,1,66,52,22.00,114,57.89,0,1,2,1,2023-2023
Nathan Ellis,4,3,2,6,3*,6.00,7,85.71,0,0,0,0,2023-2023
Blessing Muzarabani,42,32,12,103,17*,5.15,218,47.24,0,0,8,2,2023-2023
Vikramjit Singh,25,25,0,808,110,32.32,1047,77.17,1,4,97,12,2023-2023
Max O'Dowd,33,33,2,1158,90,37.35,1565,73.99,0,10,114,14,2023-2023
Tom Cooper,32,31,2,1319,101,45.48,1814,72.71,1,12,115,8,2023-2023
Colin Ackermann,7,6,0,211,81,35.16,280,75.35,0,2,18,2,2023-2023
Musa Ahmad,13,13,0,241,61,18.53,366,65.84,0,1,23,3,2023-2023
Scott Edwards,38,35,5,1212,86,40.40,1307,92.73,0,13,93,12,2023-2023
Teja Nidamanuru,20,20,3,501,111,29.47,527,95.06,2,2,35,12,2023-2023
Shariz Ahmad,11,8,1,64,30,9.14,108,59.25,0,0,3,0,2023-2023
Paul van Meekeren,13,11,6,71,21*,14.20,85,83.52,0,0,3,2,2023-2023
Fred Klaassen,19,15,7,68,13,8.50,116,58.62,0,0,2,1,2023-2023
Brandon Glover,9,6,4,29,18,14.50,46,63.04,0,0,3,0,2023-2023
David Warner,142,140,6,6030,179,45.00,6337,95.15,19,27,639,92,2023-2023
Alex Carey,64,58,11,1667,106,35.46,1896,87.92,1,7,154,14,2023-2023
Ashton Agar,21,17,4,274,46,21.07,319,85.89,0,0,25,3,2023-2023
Sean Williams,156,151,20,4986,174,38.06,5751,86.69,8,35,447,57,2023-2023
Ryan Klein,12,8,2,35,8*,5.83,65,53.84,0,0,1,0,2023-2023
Matthew Humphreys,2,1,1,4,4*,-,7,57.14,0,0,1,0,2023-2023
Hasan Mahmud,13,7,2,18,8*,3.60,47,38.29,0,0,2,0,2023-2023
Chad Bowes,4,4,0,84,51,21.00,97,86.59,0,1,12,0,2023-2023
Will Young,15,15,3,592,120,49.33,653,90.65,2,3,55,12,2023-2023
Rachin Ravindra,5,3,0,86,49,28.66,81,106.17,0,0,8,1,2023-2023
Matt Henry,72,29,9,233,48*,11.65,251,92.82,0,0,20,9,2023-2023
Angelo Mathews,221,191,48,5865,139*,41.01,7058,83.09,3,40,464,89,2023-2023
Wesley Barresi,45,44,5,1193,137*,30.58,1520,78.48,1,8,120,20,2023-2023
Aryan Dutt,25,18,4,100,16,7.14,171,58.47,0,0,7,2,2023-2023
Brandon Mavuta,9,5,1,52,20,13.00,47,110.63,0,0,5,1,2023-2023
Steven Taylor,45,45,0,1192,114,26.48,1474,80.86,1,7,135,27,2023-2023
Sushant Modani,31,31,0,831,111,26.80,1328,62.57,1,6,73,3,2023-2023
Monank Patel,47,47,3,1446,130,32.86,1836,78.75,2,10,106,21,2023-2023
Aaron Jones,43,43,3,1454,123*,36.35,2054,70.78,1,10,95,28,2023-2023
Gajanand Singh,32,32,5,986,101*,36.51,1178,83.70,1,6,89,18,2023-2023
Shayan Jahangir,12,12,2,338,100*,33.80,364,92.85,1,1,32,7,2023-2023
Nisarg Patel,41,36,8,496,52,17.71,728,68.13,0,1,35,8,2023-2023
Jessy Singh,24,19,2,219,38,12.88,352,62.21,0,0,15,6,2023-2023
Nosthush Kenjige,40,31,14,357,43,21.00,484,73.76,0,0,24,5,2023-2023
Saurabh Netravalkar,48,29,14,139,19*,9.26,230,60.43,0,0,10,2,2023-2023
Ali Khan,15,8,2,20,6,3.33,31,64.51,0,0,1,0,2023-2023
Nikolaas Davin,5,5,0,142,90,28.40,140,101.42,0,1,17,4,2023-2023
Michau du Preez,3,3,0,14,5,4.66,44,31.81,0,0,0,0,2023-2023
Rameez Shahzad,26,26,3,936,121*,40.69,1164,80.41,2,5,81,21,2023-2023
Sanchit Sharma,8,6,3,87,44,29.00,97,89.69,0,0,4,4,2023-2023
Aaron Johnson,5,5,0,123,53,24.60,119,103.36,0,1,16,4,2023-2023
Pargat Singh,5,5,0,213,102,42.60,264,80.68,1,1,24,3,2023-2023
Matthew Spoors,5,5,0,86,33,17.20,157,54.77,0,0,10,2,2023-2023
Srimantha Wijeyeratne,5,5,0,96,63,19.20,138,69.56,0,1,9,1,2023-2023
Nicholas Kirton,3,3,0,98,50,32.66,151,64.90,0,1,5,0,2023-2023
Harsh Thaker,5,5,0,86,43,17.20,170,50.58,0,0,3,3,2023-2023
Nikhil Dutta,6,5,2,81,56,27.00,140,57.85,0,1,5,4,2023-2023
Saad Bin Zafar,5,5,0,59,28,11.80,109,54.12,0,0,5,0,2023-2023
Ravinderpal Singh,5,5,1,97,34,24.25,112,86.60,0,0,6,4,2023-2023
Kaleem Sana,5,5,4,40,16*,40.00,64,62.50,0,0,2,2,2023-2023
Harrison Carlyon,5,5,0,143,85,28.60,166,86.14,0,1,16,6,2023-2023
Nick Greenwood,5,5,0,94,59,18.80,136,69.11,0,1,8,2,2023-2023
Josh Lawrenson,5,5,0,243,114,48.60,312,77.88,1,1,18,2,2023-2023
Asa Tribe,5,5,1,237,115*,59.25,321,73.83,1,1,16,6,2023-2023
Jonty Jenner,5,5,0,139,76,27.80,194,71.64,0,1,8,3,2023-2023
Benjamin Ward,5,5,1,75,46,18.75,121,61.98,0,0,7,2,2023-2023
Julius Sumerauer,5,4,0,97,35,24.25,88,110.22,0,0,10,2,2023-2023
Anthony Hawkins-Kay,1,1,0,7,7,7.00,15,46.66,0,0,0,0,2023-2023
Jake Dunford,5,4,0,10,4,2.50,27,37.03,0,0,0,0,2023-2023
Charles Perchard,5,4,3,32,16*,32.00,38,84.21,0,0,1,2,2023-2023
Elliot Miles,4,3,2,2,1*,2.00,9,22.22,0,0,0,0,2023-2023
Jeremy Gordon,10,7,2,10,4,2.00,44,22.72,0,0,0,0,2023-2023
Saiteja Mukkamalla,17,17,1,381,120*,23.81,497,76.65,1,1,34,3,2023-2023
Dominic Blampied,3,2,0,7,7,3.50,13,53.84,0,0,1,0,2023-2023
Matiullah Khan,1,1,1,0,0*,-,0,-,0,0,0,0,2023-2023
Tom Blundell,6,6,0,138,65,23.00,167,82.63,0,1,18,0,2023-2023
Vivian Kingma,18,8,3,12,9*,2.40,33,36.36,0,0,0,1,2023-2023
Dillon Heyliger,2,2,0,7,5,3.50,8,87.50,0,0,1,0,2023-2023
Aryansh Sharma,7,7,0,136,57,19.42,178,76.40,0,1,17,2,2023-2023
Ansh Tandon,1,1,0,10,10,10.00,18,55.55,0,0,1,0,2023-2023
Ben Stevens,1,1,0,1,1,1.00,5,20.00,0,0,0,0,2023-2023
Daniel Birrell,1,1,0,0,0,0.00,1,0.00,0,0,0,0,2023-2023
Kashyap Prajapati,31,30,0,949,103,31.63,1225,77.46,2,5,96,14,2023-2023
Jatinder Singh,46,45,1,1220,118*,27.72,1639,74.43,3,6,133,20,2023-2023
Adeel Shafique,2,1,0,13,13,13.00,33,39.39,0,0,2,0,2023-2023
Zeeshan Maqsood,42,41,4,1127,109,30.45,1611,69.95,2,6,90,22,2023-2023
Mohammad Nadeem,34,30,12,705,69*,39.16,1104,63.85,0,5,53,8,2023-2023
Ayaan Khan,34,31,2,1001,105*,34.51,1304,76.76,1,5,84,17,2023-2023
Sandeep Goud,36,29,6,581,67*,25.26,793,73.26,0,3,33,25,2023-2023
Fayyaz Butt,23,13,5,132,32*,16.50,159,83.01,0,0,12,2,2023-2023
Kaleemullah,39,23,10,125,20,9.61,120,104.16,0,0,6,8,2023-2023
Bilal Khan,45,19,11,30,9,3.75,69,43.47,0,0,1,1,2023-2023
Aqib Ilyas,25,23,2,1004,109*,47.80,1255,80.00,2,7,97,10,2023-2023
Mark Chapman,12,12,2,380,124*,38.00,355,107.04,2,0,29,15,2023-2023
Adam Milne,45,20,7,175,36,13.46,184,95.10,0,0,11,4,2023-2023
Shaheen Shah Afridi,36,18,11,125,23*,17.85,158,79.11,0,0,10,5,2023-2023
Shadab Khan,56,33,11,631,86,28.68,769,82.05,0,4,37,14,2023-2023
Basil Hameed,37,34,1,817,63*,24.75,1119,73.01,0,3,58,19,2023-2023
Shoaib Khan,24,24,3,726,105*,34.57,878,82.68,1,7,65,12,2023-2023
Jay Odedra,9,3,1,4,2*,2.00,14,28.57,0,0,0,0,2023-2023
James Neesham,73,63,12,1437,97*,28.17,1449,99.17,0,6,125,35,2023-2023
Abdullah Shafique,3,3,0,28,19,9.33,42,66.66,0,0,0,1,2023-2023
Ihsanullah,1,-,-,-,-,-,-,-,-,-,-,-,2023-2023
Cole McConchie,3,3,1,98,64*,49.00,84,116.66,0,1,8,3,2023-2023
Iftikhar Ahmed,12,11,5,246,94*,41.00,242,101.65,0,1,22,6,2023-2023
Mohammad Haris,5,4,1,27,17*,9.00,26,103.84,0,0,2,1,2023-2023
Ben Lister,1,1,1,1,1*,-,3,33.33,0,0,0,0,2023-2023
Shoriful Islam,17,8,2,38,16,6.33,44,86.36,0,0,2,2,2023-2023
Rony Talukdar,1,1,0,4,4,4.00,14,28.57,0,0,1,0,2023-2023
Mrittunjoy Chowdhury,1,1,0,8,8,8.00,11,72.72,0,0,0,0,2023-2023
Craig Young,39,23,11,85,12*,7.08,113,75.22,0,0,7,2,2023-2023
Dimuth Karunaratne,44,40,4,1248,103,34.66,1559,80.05,1,11,121,1,2023-2023
Dushan Hemantha,2,1,0,22,22,22.00,20,110.00,0,0,1,1,2023-2023
Matheesha Pathirana,4,2,0,5,4,2.50,13,38.46,0,0,1,0,2023-2023
Rahmanullah Gurbaz,21,21,1,779,145,38.95,896,86.94,4,2,68,33,2023-2023
Ibrahim Zadran,14,14,2,749,162,62.41,874,85.69,4,2,76,10,2023-2023
Rahmat Shah,94,90,3,3191,114,36.67,4529,70.45,5,23,273,35,2023-2023
Hashmatullah Shahidi,59,59,8,1637,97*,32.09,2481,65.98,0,14,144,9,2023-2023
Mohammad Nabi,142,126,15,3046,116,27.44,3558,85.60,1,15,196,93,2023-2023
Najibullah Zadran,88,80,13,2013,104*,30.04,2251,89.42,1,15,175,66,2023-2023
Fazalhaq Farooqi,16,7,4,7,4,2.33,29,24.13,0,0,1,0,2023-2023
Azmatullah Omarzai,12,7,1,121,56,20.16,165,73.33,0,1,10,4,2023-2023
Fareed Ahmad,14,5,4,20,13*,20.00,33,60.60,0,0,0,1,2023-2023
Mujeeb Ur Rahman,61,31,13,113,18*,6.27,171,66.08,0,0,13,2,2023-2023
Noor Ahmad,3,2,1,5,3,5.00,8,62.50,0,0,0,0,2023-2023
Sadeera Samarawickrama,17,14,1,400,82,30.76,440,90.90,0,3,45,0,2023-2023
Dushmantha Chameera,44,29,11,224,29,12.44,352,63.63,0,0,16,3,2023-2023
Maheesh Theekshana,22,11,6,88,28,17.60,171,51.46,0,0,3,0,2023-2023
Ali Naseer,9,9,1,204,58,25.50,201,101.49,0,2,17,8,2023-2023
Johnson Charles,58,58,0,1537,130,26.50,1803,85.24,2,7,172,44,2023-2023
Keacy Carty,14,12,2,320,87,32.00,487,65.70,0,1,19,6,2023-2023
Keemo Paul,30,22,7,320,46*,21.33,330,96.96,0,0,26,12,2023-2023
Dominic Drakes,2,1,0,8,8,8.00,12,66.66,0,0,0,0,2023-2023
Kavem Hodge,3,2,0,26,26,13.00,29,89.65,0,0,4,0,2023-2023
Roston Chase,42,31,4,687,94,25.44,910,75.49,0,3,48,4,2023-2023
Akeem Jordan,2,1,1,3,3*,-,6,50.00,0,0,0,0,2023-2023
Lovepreet Singh,2,2,0,9,6,4.50,25,36.00,0,0,1,0,2023-2023
Adhitya Shetty,1,-,-,-,-,-,-,-,-,-,-,-,2023-2023
Gulbadin Naib,76,65,8,1170,82*,20.52,1593,73.44,0,5,94,28,2023-2023
Rashid Khan,89,70,12,1142,60*,19.68,1091,104.67,0,5,97,40,2023-2023
Ethan D'Souza,3,2,0,9,6,4.50,19,47.36,0,0,1,0,2023-2023
Muhammad Jawadullah,5,4,2,14,13*,7.00,13,107.69,0,0,1,1,2023-2023
Alick Athanaze,1,1,0,65,65,65.00,45,144.44,0,1,9,3,2023-2023
Raymon Reifer,6,5,0,51,27,10.20,101,50.49,0,0,1,0,2023-2023
Kevin Sinclair,7,3,1,38,25,19.00,64,59.37,0,0,2,0,2023-2023
Joylord Gumbie,7,7,0,190,78,27.14,277,68.59,0,1,19,1,2023-2023
Kyle Phillip,5,2,0,1,1,0.50,5,20.00,0,0,0,0,2023-2023
Ben White,2,-,-,-,-,-,-,-,-,-,-,-,2023-2023
Bas de Leede,30,29,1,765,123,27.32,1149,66.57,1,2,48,13,2023-2023
Saqib Zulfiqar,13,13,2,181,34*,16.45,268,67.53,0,0,14,4,2023-2023
Logan van Beek,25,24,8,337,32,21.06,417,80.81,0,0,22,9,2023-2023
Clayton Floyd,9,4,1,13,9,4.33,17,76.47,0,0,2,0,2023-2023
Naseem Khushi,32,25,2,395,69,17.17,351,112.53,0,1,26,22,2023-2023
Barry McCarthy,42,28,7,171,18,8.14,299,57.19,0,0,14,1,2023-2023
Adrian Neill,9,6,4,29,14*,14.50,41,70.73,0,0,2,0,2023-2023
Luke Jongwe,40,34,5,406,46,14.00,483,84.05,0,0,40,6,2023-2023
Abhishek Paradkar,4,4,1,39,24,13.00,50,78.00,0,0,3,1,2023-2023
Usman Rafiq,2,2,1,28,28*,28.00,40,70.00,0,0,4,0,2023-2023
Romario Shepherd,22,17,2,275,50,18.33,291,94.50,0,1,25,7,2023-2023
Alasdair Evans,42,19,8,100,28,9.09,157,63.69,0,0,9,1,2023-2023
Arjun Saud,9,9,0,174,51,19.33,348,50.00,0,1,15,4,2023-2023
Suraj Kumar,24,20,6,410,62*,29.28,533,76.92,0,3,25,12,2023-2023
Kishore Mahato,2,2,2,1,1*,-,10,10.00,0,0,0,0,2023-2023
Mohammad Saleem,2,-,-,-,-,-,-,-,-,-,-,-,2023-2023
Sahan Arachchige,2,1,0,57,57,57.00,71,80.28,0,1,4,0,2023-2023
Mohammad Naim,4,3,0,10,9,3.33,31,32.25,0,0,0,0,2023-2023
Noah Croes,1,1,0,7,7,7.00,6,116.66,0,0,1,0,2023-2023
Abdul Rahman,1,1,0,4,4,4.00,20,20.00,0,0,0,0,2023-2023
Zia-ur-Rehman,1,1,0,5,5,5.00,30,16.66,0,0,1,0,2023-2023
