,Unnamed: 0,BOWLING,team,W,ECON,R,balls_balled,extras,boundaries,M,normalized_W,normalized_ECON,normalized_extras,boundary_percentage,normalized_boundary_perc
560,560,Thisara Perera,Sri Lanka,37,5.98,1267,1297.0,22,142,3,3.33,3.55,8.04,0.11,4.26
563,563,Tim Southee,New Zealand,44,5.53,1451,1557.0,44,195,16,3.96,5.07,6.07,0.13,2.66
569,569,Tom Curran,England,29,6.7,1180,1176.0,30,127,7,2.61,1.1,7.32,0.11,4.41
573,573,Trent Boult,New Zealand,83,4.84,1920,2375.0,77,230,32,7.48,7.44,3.12,0.1,5.54
576,576,Umran Malik,India,13,6.48,355,330.0,14,50,2,1.17,1.83,8.75,0.15,0.0
580,580,Usman Shinwari,Pakistan,28,4.93,561,687.0,16,66,8,2.52,7.12,8.57,0.1,5.62
587,587,Vivian Kingma,Netherlands,21,5.43,730,812.0,45,82,7,1.89,5.43,5.98,0.1,5.12
588,588,Wahab Riaz,Pakistan,18,6.0,614,632.0,24,67,1,1.62,3.48,7.86,0.11,4.61
590,590,Wanindu Hasaranga,Sri Lanka,58,4.89,1701,2080.0,9,156,17,5.23,7.27,9.2,0.08,7.75
591,591,Washington Sundar,India,15,4.6,370,456.0,8,36,2,1.35,8.25,9.29,0.08,7.35
605,605,Yuzvendra Chahal,India,94,5.58,2606,2869.0,48,237,5,8.47,4.92,5.71,0.08,6.98
