National_Team,national_flag,odi_year
Scotland,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Flag_of_Scotland.svg/255px-Flag_of_Scotland.svg.png,2022-2022
Sri_Lanka,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Sri_Lanka.svg/255px-Flag_of_Sri_Lanka.png,2022-2022
West_Indies,https://en.wikipedia.org/wiki/West_Indies_cricket_team#/media/File:Cricket_West_Indies_Logo_2017.png,2022-2022
Afghanistan,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_the_Taliban.svg/255px-Flag_of_the_Taliban.svg.png,2022-2022
Zimbabwe,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Flag_of_Zimbabwe.svg/255px-Flag_of_Zimbabwe.svg.png,2022-2022
South_Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/255px-Flag_of_South_Africa.svg.png,2022-2022
U.A.E.,,2022-2022
Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/255px-Flag_of_Australia_%28converted%29.svg.png,2023-2023
Pakistan,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/255px-Flag_of_Pakistan.svg.png,2023-2023
England,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/255px-Flag_of_England.svg.png,2023-2023
Namibia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Namibia.svg/255px-Flag_of_Namibia.svg.png,2023-2023
Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/255px-Flag_of_the_Netherlands.svg.png,2023-2023
New_Zealand,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/255px-Flag_of_New_Zealand.svg.png,2023-2023
Ireland,https://en.wikipedia.org/wiki/Flag_of_Ireland#/media/File:Flag_of_Ireland.svg,2023-2023
Oman,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Oman.svg/255px-Flag_of_Oman.svg.png,2023-2023
Jersey,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Flag_of_Jersey.svg/255px-Flag_of_Jersey.svg.png,2023-2023
Bangladesh,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/255px-Flag_of_Bangladesh.svg.png,2023-2023
India,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,2023-2023
U.S.A.,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/255px-Flag_of_the_United_States.svg.png,2023-2023
Canada,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/255px-Flag_of_Canada_%28Pantone%29.svg.png,2023-2023
P.N.G.,,2023-2023
Nepal,,2023-2023
Scotland,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Flag_of_Scotland.svg/255px-Flag_of_Scotland.svg.png,2023-2023
Sri_Lanka,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Sri_Lanka.svg/255px-Flag_of_Sri_Lanka.png,2023-2023
West_Indies,https://en.wikipedia.org/wiki/West_Indies_cricket_team#/media/File:Cricket_West_Indies_Logo_2017.png,2023-2023
Afghanistan,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_the_Taliban.svg/255px-Flag_of_the_Taliban.svg.png,2023-2023
Zimbabwe,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Flag_of_Zimbabwe.svg/255px-Flag_of_Zimbabwe.svg.png,2023-2023
South_Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/255px-Flag_of_South_Africa.svg.png,2023-2023
U.A.E.,,2023-2023
