Player_Name,matches,catches,stumps,odi_year
Brian Chari,14,3,1,2018-2018
Chamu Chibhabha,109,34,0,2018-2018
Ryan Murray,5,3,0,2018-2018
Donald Tiripano,38,5,0,2018-2018
Liam Roche,3,1,0,2018-2018
Wellington Masakadza,35,10,0,2018-2018
Usman Shinwari,17,3,0,2018-2018
Dinesh Karthik,94,64,7,2018-2018
James Vince,25,10,0,2018-2018
Prince Masvaure,2,0,0,2018-2018
Elton Chigumbura,213,72,0,2018-2018
Richard Ngarava,39,6,0,2018-2018
Junaid Khan,76,8,0,2018-2018
Yasir Shah,25,6,0,2018-2018
Tinashe Kamunhukamwe,7,1,0,2018-2018
Chris Mpofu,84,11,0,2018-2018
Andre Russell,56,11,0,2018-2018
Alzarri Joseph,61,19,0,2018-2018
Mosaddek Hossain,43,18,0,2018-2018
Kieran Powell,46,14,0,2018-2018
Shehan Jayasuriya,12,1,0,2018-2018
Lahiru Kumara,26,6,0,2018-2018
Wiaan Mulder,12,5,0,2018-2018
Stephan Myburgh,22,4,0,2018-2018
Daniel ter Braak,2,0,0,2018-2018
Ben Cooper,13,2,0,2018-2018
Wesley Barresi,45,20,8,2018-2018
Bas de Leede,30,14,0,2018-2018
Michael Rippon,9,4,0,2018-2018
Pieter Seelaar,57,18,0,2018-2018
Scott Edwards,38,36,6,2018-2018
Shane Snater,4,5,0,2018-2018
Fred Klaassen,19,5,0,2018-2018
Paul van Meekeren,13,4,0,2018-2018
Gyanendra Malla,37,13,0,2018-2018
Anil Sah,4,3,0,2018-2018
Paras Khadka,10,7,0,2018-2018
Dipendra Singh Airee,50,26,0,2018-2018
Aarif Sheikh,47,21,0,2018-2018
Sompal Kami,47,10,0,2018-2018
Basant Regmi,4,0,0,2018-2018
Shakti Gauchan,1,1,0,2018-2018
Karan KC,46,6,0,2018-2018
Sandeep Lamichhane,49,8,0,2018-2018
Sharad Vesawkar,4,1,0,2018-2018
Prabath Jayasuriya,2,0,0,2018-2018
Kasun Rajitha,24,2,0,2018-2018
Subash Khakurel,6,0,1,2018-2018
Rohit Paudel,52,13,0,2018-2018
Lalit Bhandari,1,0,0,2018-2018
Reeza Hendricks,27,16,0,2018-2018
Dhananjaya de Silva,76,35,0,2018-2018
Dasun Shanaka,61,15,0,2018-2018
Keshav Maharaj,27,4,0,2018-2018
Junior Dala,2,1,0,2018-2018
Hazratullah Zazai,16,3,0,2018-2018
Hashmatullah Shahidi,59,13,0,2018-2018
Shafiqullah,24,11,3,2018-2018
Aftab Alam,27,6,0,2018-2018
Abdul Shakoor,3,4,1,2018-2018
Sagar Pun,1,0,0,2018-2018
Litton Das,72,47,3,2018-2018
Dilruwan Perera,13,2,0,2018-2018
Amila Aponso,9,0,0,2018-2018
Lasith Malinga,226,31,0,2018-2018
Christopher Carter,11,10,2,2018-2018
Ambati Rayudu,55,17,0,2018-2018
Khaleel Ahmed,11,1,0,2018-2018
Najmul Hossain Shanto,27,8,0,2018-2018
Mominul Haque,28,4,0,2018-2018
Abu Hider,2,1,0,2018-2018
Ravindra Jadeja,174,65,0,2018-2018
Shaheen Shah Afridi,36,7,0,2018-2018
Imrul Kayes,78,21,0,2018-2018
Nazmul Islam,5,2,0,2018-2018
Manish Pandey,29,10,0,2018-2018
Deepak Chahar,13,1,0,2018-2018
Soumya Sarkar,61,34,0,2018-2018
Brandon Mavuta,9,2,0,2018-2018
Dean Elgar,8,4,0,2018-2018
Christiaan Jonker,2,0,0,2018-2018
Dale Steyn,125,28,0,2018-2018
Liam Dawson,6,2,0,2018-2018
Olly Stone,8,0,0,2018-2018
Sadeera Samarawickrama,17,1,0,2018-2018
Chandrapaul Hemraj,6,2,0,2018-2018
Mohammed Shami,90,29,0,2018-2018
Oshane Thomas,20,0,0,2018-2018
Fazle Mahmud,2,1,0,2018-2018
Rishabh Pant,30,26,1,2018-2018
Obed McCoy,2,0,0,2018-2018
Ariful Haque,1,0,0,2018-2018
Fabian Allen,20,10,0,2018-2018
Chris Lynn,4,3,0,2018-2018
Nathan Coulter-Nile,32,7,0,2018-2018
George Worker,10,5,0,2018-2018
Imad Wasim,55,12,0,2018-2018
Dwaine Pretorius,27,11,0,2018-2018
Darren Bravo,122,35,0,2018-2018
Roston Chase,42,18,0,2018-2018
Martin Guptill,198,104,0,2019-2019
Colin Munro,57,22,0,2019-2019
Kane Williamson,161,64,0,2019-2019
Ross Taylor,236,142,0,2019-2019
Henry Nicholls,66,24,0,2019-2019
Tim Seifert,3,7,1,2019-2019
James Neesham,73,26,0,2019-2019
Matt Henry,72,23,0,2019-2019
Ish Sodhi,46,10,0,2019-2019
Niroshan Dickwella,55,41,11,2019-2019
Danushka Gunathilaka,47,14,0,2019-2019
Kusal Perera,107,47,3,2019-2019
Kusal Mendis,106,67,3,2019-2019
Dinesh Chandimal,157,62,8,2019-2019
Asela Gunaratne,31,10,0,2019-2019
Thisara Perera,166,62,0,2019-2019
Seekkuge Prasanna,40,7,0,2019-2019
Lasith Malinga,226,31,0,2019-2019
Lakshan Sandakan,31,8,0,2019-2019
Nuwan Pradeep,49,7,0,2019-2019
Trent Boult,99,37,0,2019-2019
Lockie Ferguson,53,12,0,2019-2019
Tim Southee,154,43,0,2019-2019
Dhananjaya de Silva,76,35,0,2019-2019
Dasun Shanaka,61,15,0,2019-2019
Dushmantha Chameera,44,7,0,2019-2019
Alex Carey,64,73,8,2019-2019
Aaron Finch,146,71,0,2019-2019
Usman Khawaja,40,13,0,2019-2019
Shaun Marsh,73,22,0,2019-2019
Peter Handscomb,22,14,0,2019-2019
Marcus Stoinis,60,15,0,2019-2019
Glenn Maxwell,128,79,0,2019-2019
Rohit Sharma,243,87,0,2019-2019
Shikhar Dhawan,167,83,0,2019-2019
Virat Kohli,274,141,0,2019-2019
Ambati Rayudu,55,17,0,2019-2019
MS Dhoni,350,321,123,2019-2019
Dinesh Karthik,94,64,7,2019-2019
Ravindra Jadeja,174,65,0,2019-2019
Bhuvneshwar Kumar,121,29,0,2019-2019
Kuldeep Yadav,81,12,0,2019-2019
Mohammed Shami,90,29,0,2019-2019
Khaleel Ahmed,11,1,0,2019-2019
Jason Behrendorff,12,3,0,2019-2019
Jhye Richardson,15,5,0,2019-2019
Peter Siddle,20,1,0,2019-2019
Nathan Lyon,29,7,0,2019-2019
Mohammed Siraj,24,5,0,2019-2019
Adam Zampa,79,16,0,2019-2019
Billy Stanlake,7,1,0,2019-2019
Kedar Jadhav,73,33,0,2019-2019
Vijay Shankar,12,7,0,2019-2019
Yuzvendra Chahal,72,16,0,2019-2019
Hashim Amla,181,87,0,2019-2019
Reeza Hendricks,27,16,0,2019-2019
Rassie van der Dussen,45,19,0,2019-2019
David Miller,155,69,0,2019-2019
Imam-ul-Haq,59,10,0,2019-2019
Fakhar Zaman,70,33,0,2019-2019
Babar Azam,100,45,0,2019-2019
Mohammad Hafeez,218,85,0,2019-2019
Shoaib Malik,287,98,0,2019-2019
Sarfaraz Ahmed,117,119,24,2019-2019
Shadab Khan,56,14,0,2019-2019
Faheem Ashraf,31,8,0,2019-2019
Usman Shinwari,17,3,0,2019-2019
Imad Wasim,55,12,0,2019-2019
Hasan Ali,60,13,0,2019-2019
Kagiso Rabada,89,31,0,2019-2019
Duanne Olivier,2,0,0,2019-2019
Dwaine Pretorius,27,11,0,2019-2019
Andile Phehlukwayo,74,16,0,2019-2019
Imran Tahir,107,25,0,2019-2019
Hussain Talat,1,0,0,2019-2019
Shaheen Shah Afridi,36,7,0,2019-2019
Faf du Plessis,143,81,0,2019-2019
Heinrich Klaasen,36,34,5,2019-2019
Dane Paterson,4,2,0,2019-2019
Tabraiz Shamsi,44,8,0,2019-2019
Tom Latham,130,111,15,2019-2019
Mitchell Santner,93,37,0,2019-2019
Doug Bracewell,21,5,0,2019-2019
Gyanendra Malla,37,13,0,2019-2019
Binod Bhandari,17,21,1,2019-2019
Paras Khadka,10,7,0,2019-2019
Sompal Kami,47,10,0,2019-2019
Dipendra Singh Airee,50,26,0,2019-2019
Aarif Sheikh,47,21,0,2019-2019
Pawan Sarraf,8,2,0,2019-2019
Karan KC,46,6,0,2019-2019
Basant Regmi,4,0,0,2019-2019
Sandeep Lamichhane,49,8,0,2019-2019
Lalit Rajbanshi,21,6,0,2019-2019
Ashfaq Ahmed,16,6,0,2019-2019
Chirag Suri,37,10,0,2019-2019
Ghulam Shabber,23,30,2,2019-2019
Shaiman Anwar,40,12,0,2019-2019
Muhammad Usman,38,11,0,2019-2019
Fahad Nawaz,2,0,0,2019-2019
Mohammad Boota,9,0,1,2019-2019
Amir Hayat,9,4,0,2019-2019
Imran Haider,20,5,0,2019-2019
Mohammad Naveed,39,6,0,2019-2019
Qadeer Ahmed,11,1,0,2019-2019
Quinton de Kock,140,183,14,2019-2019
Dale Steyn,125,28,0,2019-2019
Beuran Hendricks,8,2,0,2019-2019
Mohammad Amir,61,8,0,2019-2019
Colin de Grandhomme,45,17,0,2019-2019
Rohit Paudel,52,13,0,2019-2019
Chundangapoyil Rizwan,41,9,0,2019-2019
Zahoor Khan,59,13,0,2019-2019
Mohammad Rizwan,57,52,2,2019-2019
Hardik Pandya,74,30,0,2019-2019
Sundeep Jora,5,1,0,2019-2019
Wiaan Mulder,12,5,0,2019-2019
Shubman Gill,24,15,0,2019-2019
Todd Astle,9,2,0,2019-2019
Tamim Iqbal,241,68,0,2019-2019
Litton Das,72,47,3,2019-2019
Soumya Sarkar,61,34,0,2019-2019
Mushfiqur Rahim,251,217,54,2019-2019
Mohammad Mithun,34,7,0,2019-2019
Mahmudullah,218,76,0,2019-2019
Sabbir Rahman,66,37,0,2019-2019
Mehidy Hasan Miraz,77,33,0,2019-2019
Mohammad Saifuddin,29,4,0,2019-2019
Mashrafe Mortaza,220,62,0,2019-2019
Mustafizur Rahman,89,15,0,2019-2019
Rubel Hossain,104,20,0,2019-2019
Chris Gayle,301,124,0,2019-2019
John Campbell,6,0,0,2019-2019
Shai Hope,115,120,12,2019-2019
Shimron Hetmyer,47,19,0,2019-2019
Nicholas Pooran,61,23,2,2019-2019
Darren Bravo,122,35,0,2019-2019
Jason Holder,138,65,0,2019-2019
Carlos Brathwaite,44,11,0,2019-2019
Ashley Nurse,54,15,0,2019-2019
Devendra Bishoo,42,7,0,2019-2019
Jason Roy,116,46,0,2019-2019
Jonny Bairstow,95,48,3,2019-2019
Joe Root,158,78,0,2019-2019
Eoin Morgan,248,87,0,2019-2019
Ben Stokes,105,49,0,2019-2019
Jos Buttler,165,204,34,2019-2019
Chris Woakes,112,47,0,2019-2019
Mark Wood,59,13,0,2019-2019
Moeen Ali,129,42,0,2019-2019
Liam Plunkett,89,26,0,2019-2019
Adil Rashid,125,40,0,2019-2019
Oshane Thomas,20,0,0,2019-2019
Tom Curran,28,5,0,2019-2019
Sheldon Cottrell,38,19,0,2019-2019
Alex Hales,70,27,0,2019-2019
William Porterfield,148,68,0,2019-2019
Paul Stirling,154,57,0,2019-2019
Andy Balbirnie,101,32,0,2019-2019
James McCollum,10,2,0,2019-2019
Kevin O'Brien,153,67,0,2019-2019
Simi Singh,35,13,0,2019-2019
Stuart Poynter,21,22,1,2019-2019
George Dockrell,117,43,0,2019-2019
Barry McCarthy,42,12,0,2019-2019
Tim Murtagh,58,16,0,2019-2019
Boyd Rankin,75,17,0,2019-2019
Mohammad Shahzad,84,64,25,2019-2019
Hazratullah Zazai,16,3,0,2019-2019
Rahmat Shah,94,24,0,2019-2019
Hashmatullah Shahidi,59,13,0,2019-2019
Gulbadin Naib,76,22,0,2019-2019
Asghar Afghan,114,24,0,2019-2019
Najibullah Zadran,88,39,0,2019-2019
Dawlat Zadran,82,16,0,2019-2019
Mujeeb Ur Rahman,61,10,0,2019-2019
Mohammad Nabi,142,61,0,2019-2019
Rashid Khan,89,27,0,2019-2019
Ashton Turner,9,4,0,2019-2019
Nathan Coulter-Nile,32,7,0,2019-2019
Pat Cummins,75,19,0,2019-2019
Jasprit Bumrah,72,17,0,2019-2019
Upul Tharanga,235,50,0,2019-2019
Oshada Fernando,8,1,0,2019-2019
Akila Dananjaya,39,14,0,2019-2019
Vishwa Fernando,8,0,0,2019-2019
Lungi Ngidi,45,11,0,2019-2019
Anrich Nortje,21,3,0,2019-2019
Samiullah Shinwari,84,21,0,2019-2019
Andy McBrine,82,32,0,2019-2019
James Cameron-Dow,4,2,0,2019-2019
Avishka Fernando,29,14,0,2019-2019
Kasun Rajitha,24,2,0,2019-2019
Noor Ali Zadran,51,15,0,2019-2019
Ikram Alikhil,12,3,3,2019-2019
Aftab Alam,27,6,0,2019-2019
Javed Ahmadi,47,11,0,2019-2019
Shapoor Zadran,44,5,0,2019-2019
Zahir Khan,1,0,0,2019-2019
KL Rahul,54,32,2,2019-2019
Rishabh Pant,30,26,1,2019-2019
Kamindu Mendis,7,2,0,2019-2019
Isuru Udana,21,6,0,2019-2019
Priyamal Perera,2,1,0,2019-2019
Aiden Markram,50,20,0,2019-2019
Jean-Paul Duminy,199,82,0,2019-2019
Angelo Perera,6,1,0,2019-2019
Shan Masood,9,2,0,2019-2019
Haris Sohail,45,17,0,2019-2019
Umar Akmal,121,77,13,2019-2019
Mohammad Abbas,3,0,0,2019-2019
Yasir Shah,25,6,0,2019-2019
Mohammad Hasnain,9,2,0,2019-2019
Junaid Khan,76,8,0,2019-2019
Abid Ali,6,3,0,2019-2019
Syed Saad Ali,2,0,0,2019-2019
Kane Richardson,25,7,0,2019-2019
Rohan Mustafa,81,35,0,2019-2019
Sultan Ahmed,2,0,0,2019-2019
Solomon Mire,47,12,0,2019-2019
Regis Chakabva,61,53,5,2019-2019
Craig Ervine,116,54,0,2019-2019
Sean Williams,156,58,0,2019-2019
Timycen Maruma,22,12,0,2019-2019
Kyle Jarvis,49,11,0,2019-2019
Tendai Chatara,87,8,0,2019-2019
Donald Tiripano,38,5,0,2019-2019
Sikandar Raza,136,54,0,2019-2019
Brandon Mavuta,9,2,0,2019-2019
Peter Moor,49,22,1,2019-2019
Chris Mpofu,84,11,0,2019-2019
Ryan Burl,47,20,0,2019-2019
Brian Chari,14,3,1,2019-2019
Stephan Baard,19,5,0,2019-2019
Karl Birkenstock,20,8,0,2019-2019
JP Kotze,8,0,0,2019-2019
Gerhard Erasmus,40,22,0,2019-2019
Craig Williams,18,6,0,2019-2019
JJ Smit,29,9,0,2019-2019
Zane Green,33,39,4,2019-2019
Christi Viljoen,2,2,0,2019-2019
Jan Frylinck,28,11,0,2019-2019
Khawar Ali,34,19,0,2019-2019
Jatinder Singh,46,15,0,2019-2019
Aqib Ilyas,25,6,0,2019-2019
Zeeshan Maqsood,42,22,0,2019-2019
Mohammad Nadeem,34,6,0,2019-2019
Suraj Kumar,24,18,2,2019-2019
Sandeep Goud,36,18,0,2019-2019
Khurram Nawaz,3,1,0,2019-2019
Fayyaz Butt,23,5,0,2019-2019
Kaleemullah,39,9,0,2019-2019
Bilal Khan,45,4,0,2019-2019
Bernard Scholtz,41,5,0,2019-2019
Pikky Ya France,25,7,0,2019-2019
Xavier Marshall,37,12,0,2019-2019
Monank Patel,47,33,2,2019-2019
Steven Taylor,45,20,0,2019-2019
Aaron Jones,43,14,0,2019-2019
Jaskaran Malhotra,18,10,1,2019-2019
Hayden Walsh,22,4,0,2019-2019
Timil Patel,7,2,0,2019-2019
Karima Gore,16,6,0,2019-2019
Jessy Singh,24,5,0,2019-2019
Saurabh Netravalkar,48,15,0,2019-2019
Ali Khan,15,2,0,2019-2019
Tony Ura,61,26,0,2019-2019
Assad Vala,66,34,0,2019-2019
Charles Amini,49,21,0,2019-2019
Chad Soper,56,14,0,2019-2019
Lega Siaka,47,17,0,2019-2019
Sese Bau,57,20,0,2019-2019
Norman Vanua,57,16,0,2019-2019
Nosaina Pokana,21,7,0,2019-2019
Damien Ravu,18,2,0,2019-2019
Lorcan Tucker,44,59,3,2019-2019
Gary Wilson,105,73,10,2019-2019
Mark Adair,41,18,0,2019-2019
Josh Little,32,4,0,2019-2019
James Vince,25,10,0,2019-2019
Dawid Malan,18,7,0,2019-2019
Joe Denly,16,7,0,2019-2019
Ben Foakes,1,2,1,2019-2019
David Willey,64,26,0,2019-2019
Jofra Archer,21,6,0,2019-2019
Kemar Roach,95,22,0,2019-2019
Shannon Gabriel,25,1,0,2019-2019
Sunil Ambris,16,2,0,2019-2019
Roston Chase,42,18,0,2019-2019
Jonathan Carter,33,7,0,2019-2019
Shane Dowrich,1,0,0,2019-2019
Shakib Al Hasan,235,56,0,2019-2019
Matthew Cross,90,118,7,2019-2019
Kyle Coetzer,89,26,0,2019-2019
Calum MacLeod,88,53,0,2019-2019
Richie Berrington,112,38,0,2019-2019
George Munsey,53,26,0,2019-2019
Craig Wallace,32,17,2,2019-2019
Tom Sole,10,7,0,2019-2019
Safyaan Sharif,77,20,0,2019-2019
