Ground_link,Team_1_link,Team_2_link,match_link,odi_year
/ci/content/ground/59392.html,/team/afghanistan-40,/team/zimbabwe-9,/series/afg-in-uae-2017-18-1125468/afghanistan-vs-zimbabwe-5th-odi-1134037/full-scorecard,2018-2018
/ci/content/ground/58831.html,/team/new-zealand-5,/team/england-1,/series/england-in-australia-and-new-zealand-2017-18-1072261/new-zealand-vs-england-1st-odi-1115775/full-scorecard,2018-2018
/ci/content/ground/444258.html,/team/new-zealand-5,/team/england-1,/series/england-in-australia-and-new-zealand-2017-18-1072261/new-zealand-vs-england-2nd-odi-1115776/full-scorecard,2018-2018
/ci/content/ground/58899.html,/team/new-zealand-5,/team/england-1,/series/england-in-australia-and-new-zealand-2017-18-1072261/new-zealand-vs-england-3rd-odi-1115777/full-scorecard,2018-2018
/ci/content/ground/59534.html,/team/afghanistan-40,/team/scotland-30,/series/cricket-wc-qualifier-2017-18-1132997/afghanistan-vs-scotland-4th-match-group-b-1133001/full-scorecard,2018-2018
/ci/content/ground/59545.html,/team/papua-new-guinea-20,/team/united-arab-emirates-27,/series/cricket-wc-qualifier-2017-18-1132997/papua-new-guinea-vs-united-arab-emirates-1st-match-group-a-1134540/full-scorecard,2018-2018
/ci/content/ground/59534.html,/team/hong-kong-19,/team/scotland-30,/series/cricket-wc-qualifier-2017-18-1132997/hong-kong-vs-scotland-8th-match-group-b-1133005/full-scorecard,2018-2018
/ci/content/ground/59545.html,/team/ireland-29,/team/papua-new-guinea-20,/series/cricket-wc-qualifier-2017-18-1132997/ireland-vs-papua-new-guinea-5th-match-group-a-1133002/full-scorecard,2018-2018
/ci/content/ground/59547.html,/team/united-arab-emirates-27,/team/west-indies-4,/series/cricket-wc-qualifier-2017-18-1132997/united-arab-emirates-vs-west-indies-6th-match-group-a-1133003/full-scorecard,2018-2018
/ci/content/ground/59537.html,/team/zimbabwe-9,/team/afghanistan-40,/series/cricket-wc-qualifier-2017-18-1132997/zimbabwe-vs-afghanistan-7th-match-group-b-1133004/full-scorecard,2018-2018
/ci/content/ground/58827.html,/team/new-zealand-5,/team/england-1,/series/england-in-australia-and-new-zealand-2017-18-1072261/new-zealand-vs-england-4th-odi-1115778/full-scorecard,2018-2018
/ci/content/ground/59534.html,/team/afghanistan-40,/team/hong-kong-19,/series/cricket-wc-qualifier-2017-18-1132997/afghanistan-vs-hong-kong-12th-match-group-b-1133009/full-scorecard,2018-2018
/ci/content/ground/59547.html,/team/papua-new-guinea-20,/team/west-indies-4,/series/cricket-wc-qualifier-2017-18-1132997/papua-new-guinea-vs-west-indies-10th-match-group-a-1133007/full-scorecard,2018-2018
/ci/content/ground/58810.html,/team/new-zealand-5,/team/england-1,/series/england-in-australia-and-new-zealand-2017-18-1072261/new-zealand-vs-england-5th-odi-1115779/full-scorecard,2018-2018
/ci/content/ground/59545.html,/team/ireland-29,/team/west-indies-4,/series/cricket-wc-qualifier-2017-18-1132997/ireland-vs-west-indies-13th-match-group-a-1133010/full-scorecard,2018-2018
/ci/content/ground/59537.html,/team/zimbabwe-9,/team/hong-kong-19,/series/cricket-wc-qualifier-2017-18-1132997/zimbabwe-vs-hong-kong-15th-match-group-b-1133012/full-scorecard,2018-2018
/ci/content/ground/59547.html,/team/ireland-29,/team/united-arab-emirates-27,/series/cricket-wc-qualifier-2017-18-1132997/ireland-vs-united-arab-emirates-18th-match-group-a-1133015/full-scorecard,2018-2018
/ci/content/ground/59537.html,/team/zimbabwe-9,/team/scotland-30,/series/cricket-wc-qualifier-2017-18-1132997/zimbabwe-vs-scotland-20th-match-group-b-1133017/full-scorecard,2018-2018
